id,ket_waktu,nama_marketplace,jenis_barang,total_penjualan,status_promosi
1,01-01-13,Lazada,Otomotif,0.0,0
2,01-01-13,Lazada,Perlengkapan Bayi,0.0,0
3,01-01-13,Lazada,Produk Kecantikan,0.0,0
4,01-01-13,Lazada,Minuman,0.0,0
5,01-01-13,Lazada,Buku dan Novel,0.0,0
6,01-01-13,Lazada,Roti,0.0,0
7,01-01-13,Lazada,Perlengkapan Kado,0.0,0
8,01-01-13,Lazada,Peralatan Rumah Tangga,0.0,0
9,01-01-13,Lazada,Kebutuhan Sehari-hari,0.0,0
10,01-01-13,Lazada,Makanan Jadi,0.0,0
11,01-01-13,Lazada,Telur Ayam,0.0,0
12,01-01-13,Lazada,Makanan Beku KemasanS,0.0,0
13,01-01-13,Lazada,Sayur,0.0,0
14,01-01-13,Lazada,Buah,0.0,0
15,01-01-13,Lazada,Gadget dan Aksesoris Handphone,0.0,0
16,01-01-13,Lazada,IoT dan Smart Home,0.0,0
17,01-01-13,Lazada,Peralatan Portable,0.0,0
18,01-01-13,Lazada,Alat Elektronik Rumah,0.0,0
19,01-01-13,Lazada,Perawatan Kesehatan,0.0,0
20,01-01-13,Lazada,Fashion Wanita,0.0,0
21,01-01-13,Lazada,Tanaman Hias,0.0,0
22,01-01-13,Lazada,Perlengkapan Bayi,0.0,0
23,01-01-13,Lazada,Perlengkapan Camping,0.0,0
24,01-01-13,Lazada,Novel,0.0,0
25,01-01-13,Lazada,Daging,0.0,0
26,01-01-13,Lazada,Perlengkapan Ibadah,0.0,0
27,01-01-13,Lazada,Perlengkapan Petshop,0.0,0
28,01-01-13,Lazada,Voucher Game dan Layanan,0.0,0
29,01-01-13,Lazada,Daging Putih,0.0,0
30,01-01-13,Lazada,Kuliner,0.0,0
31,01-01-13,Lazada,Peralatan Olahraga,0.0,0
32,01-01-13,Lazada,Alat Tulis dan Kantor,0.0,0
33,01-01-13,Lazada,Hasil Laut,0.0,0
34,01-01-13,Tokopedia,Otomotif,0.0,0
35,01-01-13,Tokopedia,Perlengkapan Bayi,0.0,0
36,01-01-13,Tokopedia,Produk Kecantikan,0.0,0
37,01-01-13,Tokopedia,Minuman,0.0,0
38,01-01-13,Tokopedia,Buku dan Novel,0.0,0
39,01-01-13,Tokopedia,Roti,0.0,0
40,01-01-13,Tokopedia,Perlengkapan Kado,0.0,0
41,01-01-13,Tokopedia,Peralatan Rumah Tangga,0.0,0
42,01-01-13,Tokopedia,Kebutuhan Sehari-hari,0.0,0
43,01-01-13,Tokopedia,Makanan Jadi,0.0,0
44,01-01-13,Tokopedia,Telur Ayam,0.0,0
45,01-01-13,Tokopedia,Makanan Beku KemasanS,0.0,0
46,01-01-13,Tokopedia,Sayur,0.0,0
47,01-01-13,Tokopedia,Buah,0.0,0
48,01-01-13,Tokopedia,Gadget dan Aksesoris Handphone,0.0,0
49,01-01-13,Tokopedia,IoT dan Smart Home,0.0,0
50,01-01-13,Tokopedia,Peralatan Portable,0.0,0
51,01-01-13,Tokopedia,Alat Elektronik Rumah,0.0,0
52,01-01-13,Tokopedia,Perawatan Kesehatan,0.0,0
53,01-01-13,Tokopedia,Fashion Wanita,0.0,0
54,01-01-13,Tokopedia,Tanaman Hias,0.0,0
55,01-01-13,Tokopedia,Perlengkapan Bayi,0.0,0
56,01-01-13,Tokopedia,Perlengkapan Camping,0.0,0
57,01-01-13,Tokopedia,Novel,0.0,0
58,01-01-13,Tokopedia,Daging,0.0,0
59,01-01-13,Tokopedia,Perlengkapan Ibadah,0.0,0
60,01-01-13,Tokopedia,Perlengkapan Petshop,0.0,0
61,01-01-13,Tokopedia,Voucher Game dan Layanan,0.0,0
62,01-01-13,Tokopedia,Daging Putih,0.0,0
63,01-01-13,Tokopedia,Kuliner,0.0,0
64,01-01-13,Tokopedia,Peralatan Olahraga,0.0,0
65,01-01-13,Tokopedia,Alat Tulis dan Kantor,0.0,0
66,01-01-13,Tokopedia,Hasil Laut,0.0,0
67,01-01-13,Blibli,Otomotif,0.0,0
68,01-01-13,Blibli,Perlengkapan Bayi,0.0,0
69,01-01-13,Blibli,Produk Kecantikan,0.0,0
70,01-01-13,Blibli,Minuman,0.0,0
71,01-01-13,Blibli,Buku dan Novel,0.0,0
72,01-01-13,Blibli,Roti,0.0,0
73,01-01-13,Blibli,Perlengkapan Kado,0.0,0
74,01-01-13,Blibli,Peralatan Rumah Tangga,0.0,0
75,01-01-13,Blibli,Kebutuhan Sehari-hari,0.0,0
76,01-01-13,Blibli,Makanan Jadi,0.0,0
77,01-01-13,Blibli,Telur Ayam,0.0,0
78,01-01-13,Blibli,Makanan Beku KemasanS,0.0,0
79,01-01-13,Blibli,Sayur,0.0,0
80,01-01-13,Blibli,Buah,0.0,0
81,01-01-13,Blibli,Gadget dan Aksesoris Handphone,0.0,0
82,01-01-13,Blibli,IoT dan Smart Home,0.0,0
83,01-01-13,Blibli,Peralatan Portable,0.0,0
84,01-01-13,Blibli,Alat Elektronik Rumah,0.0,0
85,01-01-13,Blibli,Perawatan Kesehatan,0.0,0
86,01-01-13,Blibli,Fashion Wanita,0.0,0
87,01-01-13,Blibli,Tanaman Hias,0.0,0
88,01-01-13,Blibli,Perlengkapan Bayi,0.0,0
89,01-01-13,Blibli,Perlengkapan Camping,0.0,0
90,01-01-13,Blibli,Novel,0.0,0
91,01-01-13,Blibli,Daging,0.0,0
92,01-01-13,Blibli,Perlengkapan Ibadah,0.0,0
93,01-01-13,Blibli,Perlengkapan Petshop,0.0,0
94,01-01-13,Blibli,Voucher Game dan Layanan,0.0,0
95,01-01-13,Blibli,Daging Putih,0.0,0
96,01-01-13,Blibli,Kuliner,0.0,0
97,01-01-13,Blibli,Peralatan Olahraga,0.0,0
98,01-01-13,Blibli,Alat Tulis dan Kantor,0.0,0
99,01-01-13,Blibli,Hasil Laut,0.0,0
100,01-01-13,Shopee,Otomotif,0.0,0
101,01-01-13,Shopee,Perlengkapan Bayi,0.0,0
102,01-01-13,Shopee,Produk Kecantikan,0.0,0
103,01-01-13,Shopee,Minuman,0.0,0
104,01-01-13,Shopee,Buku dan Novel,0.0,0
105,01-01-13,Shopee,Roti,0.0,0
106,01-01-13,Shopee,Perlengkapan Kado,0.0,0
107,01-01-13,Shopee,Peralatan Rumah Tangga,0.0,0
108,01-01-13,Shopee,Kebutuhan Sehari-hari,0.0,0
109,01-01-13,Shopee,Makanan Jadi,0.0,0
110,01-01-13,Shopee,Telur Ayam,0.0,0
111,01-01-13,Shopee,Makanan Beku KemasanS,0.0,0
112,01-01-13,Shopee,Sayur,0.0,0
113,01-01-13,Shopee,Buah,0.0,0
114,01-01-13,Shopee,Gadget dan Aksesoris Handphone,0.0,0
115,01-01-13,Shopee,IoT dan Smart Home,0.0,0
116,01-01-13,Shopee,Peralatan Portable,0.0,0
117,01-01-13,Shopee,Alat Elektronik Rumah,0.0,0
118,01-01-13,Shopee,Perawatan Kesehatan,0.0,0
119,01-01-13,Shopee,Fashion Wanita,0.0,0
120,01-01-13,Shopee,Tanaman Hias,0.0,0
121,01-01-13,Shopee,Perlengkapan Bayi,0.0,0
122,01-01-13,Shopee,Perlengkapan Camping,0.0,0
123,01-01-13,Shopee,Novel,0.0,0
124,01-01-13,Shopee,Daging,0.0,0
125,01-01-13,Shopee,Perlengkapan Ibadah,0.0,0
126,01-01-13,Shopee,Perlengkapan Petshop,0.0,0
127,01-01-13,Shopee,Voucher Game dan Layanan,0.0,0
128,01-01-13,Shopee,Daging Putih,0.0,0
129,01-01-13,Shopee,Kuliner,0.0,0
130,01-01-13,Shopee,Peralatan Olahraga,0.0,0
131,01-01-13,Shopee,Alat Tulis dan Kantor,0.0,0
132,01-01-13,Shopee,Hasil Laut,0.0,0
133,02-01-13,Lazada,Otomotif,4.0,0
134,02-01-13,Lazada,Perlengkapan Bayi,0.0,0
135,02-01-13,Lazada,Produk Kecantikan,1.0,0
136,02-01-13,Lazada,Minuman,682.0,0
137,02-01-13,Lazada,Buku dan Novel,0.0,0
138,02-01-13,Lazada,Roti,337.0,0
139,02-01-13,Lazada,Perlengkapan Kado,0.0,0
140,02-01-13,Lazada,Peralatan Rumah Tangga,1092.0,0
141,02-01-13,Lazada,Kebutuhan Sehari-hari,151.0,0
142,02-01-13,Lazada,Makanan Jadi,176.0,0
143,02-01-13,Lazada,Telur Ayam,75.0,0
144,02-01-13,Lazada,Makanan Beku KemasanS,14.0,0
145,02-01-13,Lazada,Sayur,2677.0,0
146,02-01-13,Lazada,Buah,5.0,0
147,02-01-13,Lazada,Gadget dan Aksesoris Handphone,0.0,0
148,02-01-13,Lazada,IoT dan Smart Home,0.0,0
149,02-01-13,Lazada,Peralatan Portable,0.0,0
150,02-01-13,Lazada,Alat Elektronik Rumah,0.0,0
151,02-01-13,Lazada,Perawatan Kesehatan,0.0,0
152,02-01-13,Lazada,Fashion Wanita,0.0,0
153,02-01-13,Lazada,Tanaman Hias,0.0,0
154,02-01-13,Lazada,Perlengkapan Bayi,9.0,0
155,02-01-13,Lazada,Perlengkapan Camping,36.0,0
156,02-01-13,Lazada,Novel,0.0,0
157,02-01-13,Lazada,Daging,232.349,0
158,02-01-13,Lazada,Perlengkapan Ibadah,210.0,0
159,02-01-13,Lazada,Perlengkapan Petshop,0.0,0
160,02-01-13,Lazada,Voucher Game dan Layanan,0.0,0
161,02-01-13,Lazada,Daging Putih,103.168,0
162,02-01-13,Lazada,Kuliner,41.0,0
163,02-01-13,Lazada,Peralatan Olahraga,0.0,0
164,02-01-13,Lazada,Alat Tulis dan Kantor,0.0,0
165,02-01-13,Lazada,Hasil Laut,9.0,0
166,02-01-13,Tokopedia,Otomotif,8.0,0
167,02-01-13,Tokopedia,Perlengkapan Bayi,0.0,0
168,02-01-13,Tokopedia,Produk Kecantikan,2.0,0
169,02-01-13,Tokopedia,Minuman,1011.0,0
170,02-01-13,Tokopedia,Buku dan Novel,0.0,0
171,02-01-13,Tokopedia,Roti,282.0,0
172,02-01-13,Tokopedia,Perlengkapan Kado,0.0,0
173,02-01-13,Tokopedia,Peralatan Rumah Tangga,1329.0,0
174,02-01-13,Tokopedia,Kebutuhan Sehari-hari,185.0,0
175,02-01-13,Tokopedia,Makanan Jadi,378.0,0
176,02-01-13,Tokopedia,Telur Ayam,139.0,0
177,02-01-13,Tokopedia,Makanan Beku KemasanS,48.516,0
178,02-01-13,Tokopedia,Sayur,3431.0,0
179,02-01-13,Tokopedia,Buah,6.0,0
180,02-01-13,Tokopedia,Gadget dan Aksesoris Handphone,0.0,0
181,02-01-13,Tokopedia,IoT dan Smart Home,0.0,0
182,02-01-13,Tokopedia,Peralatan Portable,0.0,0
183,02-01-13,Tokopedia,Alat Elektronik Rumah,0.0,0
184,02-01-13,Tokopedia,Perawatan Kesehatan,0.0,0
185,02-01-13,Tokopedia,Fashion Wanita,0.0,0
186,02-01-13,Tokopedia,Tanaman Hias,0.0,0
187,02-01-13,Tokopedia,Perlengkapan Bayi,7.0,0
188,02-01-13,Tokopedia,Perlengkapan Camping,120.0,0
189,02-01-13,Tokopedia,Novel,0.0,0
190,02-01-13,Tokopedia,Daging,226.374,0
191,02-01-13,Tokopedia,Perlengkapan Ibadah,214.0,0
192,02-01-13,Tokopedia,Perlengkapan Petshop,0.0,0
193,02-01-13,Tokopedia,Voucher Game dan Layanan,0.0,0
194,02-01-13,Tokopedia,Daging Putih,223.623,0
195,02-01-13,Tokopedia,Kuliner,47.0,0
196,02-01-13,Tokopedia,Peralatan Olahraga,0.0,0
197,02-01-13,Tokopedia,Alat Tulis dan Kantor,0.0,0
198,02-01-13,Tokopedia,Hasil Laut,16.0,0
199,02-01-13,Blibli,Otomotif,2.0,0
200,02-01-13,Blibli,Perlengkapan Bayi,0.0,0
201,02-01-13,Blibli,Produk Kecantikan,2.0,0
202,02-01-13,Blibli,Minuman,213.0,0
203,02-01-13,Blibli,Buku dan Novel,0.0,0
204,02-01-13,Blibli,Roti,48.0,0
205,02-01-13,Blibli,Perlengkapan Kado,0.0,0
206,02-01-13,Blibli,Peralatan Rumah Tangga,463.0,0
207,02-01-13,Blibli,Kebutuhan Sehari-hari,45.0,0
208,02-01-13,Blibli,Makanan Jadi,64.0,0
209,02-01-13,Blibli,Telur Ayam,25.0,0
210,02-01-13,Blibli,Makanan Beku KemasanS,13.575,0
211,02-01-13,Blibli,Sayur,1223.0,0
212,02-01-13,Blibli,Buah,7.0,0
213,02-01-13,Blibli,Gadget dan Aksesoris Handphone,2.0,0
214,02-01-13,Blibli,IoT dan Smart Home,0.0,0
215,02-01-13,Blibli,Peralatan Portable,0.0,0
216,02-01-13,Blibli,Alat Elektronik Rumah,1.0,0
217,02-01-13,Blibli,Perawatan Kesehatan,0.0,0
218,02-01-13,Blibli,Fashion Wanita,0.0,0
219,02-01-13,Blibli,Tanaman Hias,0.0,0
220,02-01-13,Blibli,Perlengkapan Bayi,6.0,0
221,02-01-13,Blibli,Perlengkapan Camping,31.0,0
222,02-01-13,Blibli,Novel,0.0,0
223,02-01-13,Blibli,Daging,73.95,0
224,02-01-13,Blibli,Perlengkapan Ibadah,155.0,0
225,02-01-13,Blibli,Perlengkapan Petshop,0.0,0
226,02-01-13,Blibli,Voucher Game dan Layanan,0.0,0
227,02-01-13,Blibli,Daging Putih,45.983,0
228,02-01-13,Blibli,Kuliner,15.0,0
229,02-01-13,Blibli,Peralatan Olahraga,0.0,0
230,02-01-13,Blibli,Alat Tulis dan Kantor,0.0,0
231,02-01-13,Blibli,Hasil Laut,6.0,0
232,02-01-13,Shopee,Otomotif,2.0,0
233,02-01-13,Shopee,Perlengkapan Bayi,0.0,0
234,02-01-13,Shopee,Produk Kecantikan,1.0,0
235,02-01-13,Shopee,Minuman,483.0,0
236,02-01-13,Shopee,Buku dan Novel,0.0,0
237,02-01-13,Shopee,Roti,299.0,0
238,02-01-13,Shopee,Perlengkapan Kado,0.0,0
239,02-01-13,Shopee,Peralatan Rumah Tangga,889.0,0
240,02-01-13,Shopee,Kebutuhan Sehari-hari,139.0,0
241,02-01-13,Shopee,Makanan Jadi,156.0,0
